note_combination,chord_label,raw_values_per_combination,weighted_modulations_per_region_in_note_combinations,weighted_sum_per_region_normalized_tension_value,raw_t_score_summed_only_modulations,raw_t_score_summed_using_weighted_normalized_value,raw_t_score_summed_using_weighted_modulations_no_norm,normed_values_only_modulations,normed_values_weighted_modulations_only,normed_values_normed_weighted_modulations,method,harmonics_considered
"C4,E4,A4",Am1st,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.0, 0.17499999999999996, 0.0, 0.0]",1.9000000000000001,0.17499999999999996,0.06999999999999999,0.0,0.08536585365853656,0.12804878048780485,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,E4,G4",CM,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.0, 0.0, 0.0, 0.35]",2.1000000000000005,0.35,0.21000000000000002,1.0,0.25609756097560976,0.25609756097560976,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,D#4,G#4",G#M1st,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]","[[0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.35, 0.0, 0.0, 0.0]",2.1000000000000005,0.35,0.21000000000000002,1.0,0.25609756097560976,0.25609756097560976,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,D#4,G4",Cm,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]","[[0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.35, 0.0, 0.0, 0.0]",2.1000000000000005,0.35,0.21000000000000002,1.0,0.25609756097560976,0.25609756097560976,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,F4,G#4",Fm2nd,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.0, 0.0, 0.0, 0.35]",2.1000000000000005,0.35,0.21000000000000002,1.0,0.25609756097560976,0.25609756097560976,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,F4,A#4",Fsus42nd,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.0, 0.7750000000000001, 0.0, 0.0]",1.9000000000000001,0.7750000000000001,0.31000000000000005,0.0,0.37804878048780494,0.5670731707317074,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,F4,G4",Csus4,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0]]","[0.0, 0.0, 0.0, 0.6166666666666667]",2.1000000000000005,0.6166666666666667,0.37000000000000005,1.0,0.45121951219512196,0.45121951219512196,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,D4,G4",Csus2,"[[0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]","[[0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.6166666666666667, 0.0, 0.0, 0.0]",2.1000000000000005,0.6166666666666667,0.37000000000000005,1.0,0.45121951219512196,0.45121951219512196,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,D#4,A4",Adim1st,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]","[[0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.35, 0.17499999999999996, 0.0, 0.6666666666666666]",1.9000000000000001,1.1916666666666664,0.68,0.0,0.8292682926829268,0.8719512195121949,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,F#4,A4",F#dim2nd,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.6666666666666666, 0.17499999999999996, 0.0, 0.35]",1.9000000000000001,1.1916666666666664,0.68,0.0,0.8292682926829268,0.8719512195121949,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,D#4,F#4",Cdim,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.21000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.35, 0.6666666666666666, 0.0, 0.35]",2.1000000000000005,1.3666666666666667,0.8200000000000001,1.0,1.0,1.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,2
"C4,F4,A4",FM2nd,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]",,,1.9000000000000001,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,E4,A4",Am1st,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]",,,1.9000000000000001,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,F4,A#4",Fsus42nd,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]",,,1.9000000000000001,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,D#4,A4",Adim1st,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]]",,,1.9000000000000001,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,F#4,A4",F#dim2nd,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]",,,1.9000000000000001,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,E4,G4",CM,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]",,,2.1000000000000005,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,D#4,G#4",G#M1st,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]",,,2.1000000000000005,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,D#4,G4",Cm,"[[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]]",,,2.1000000000000005,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,F4,G#4",Fm2nd,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0]]",,,2.1000000000000005,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
"C4,F4,G4",Csus4,"[[0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.0]]",,,2.1000000000000005,,,1.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,2
